onset1	nucleus1	onset2	nucleus2	coda	shape	jamo	hangul	romanization	lexicality	memo
p	i			m	CVC	ㅂㅣᆷ	빔	bim	TRUE	
p	i			n	CVC	ㅂㅣᆫ	빈	bin	TRUE	
p	i			ŋ	CVC	ㅂㅣᆼ	빙	bing	TRUE	
p	i			t̚	CVC	ㅂㅣᆮ	빋	bit	TRUE	
p	i			k̚	CVC	ㅂㅣᆨ	빅	bik	TRUE	
p	a			m	CVC	ㅂㅏᆷ	밤	bam	TRUE	
p	a			n	CVC	ㅂㅏᆫ	반	ban	TRUE	
p	a			ŋ	CVC	ㅂㅏᆼ	방	bang	TRUE	
p	a			t̚	CVC	ㅂㅏᆮ	받	bat	TRUE	
p	a			k̚	CVC	ㅂㅏᆨ	박	bak	TRUE	
p	o			m	CVC	ㅂㅗᆷ	봄	bom	TRUE	
p	o			n	CVC	ㅂㅗᆫ	본	bon	TRUE	
p	o			ŋ	CVC	ㅂㅗᆼ	봉	bong	TRUE	
p	o			t̚	CVC	ㅂㅗᆮ	볻	bot	TRUE	
p	o			k̚	CVC	ㅂㅗᆨ	복	bok	TRUE	
p	u			m	CVC	ㅂㅜᆷ	붐	bum	TRUE	
p	u			n	CVC	ㅂㅜᆫ	분	bun	TRUE	
p	u			ŋ	CVC	ㅂㅜᆼ	붕	bung	TRUE	
p	u			t̚	CVC	ㅂㅜᆮ	붇	but	TRUE	
p	u			k̚	CVC	ㅂㅜᆨ	북	buk	TRUE	
t	i			m	CVC	ㄷㅣᆷ	딤	dim	TRUE	
t	i			n	CVC	ㄷㅣᆫ	딘	din	FALSE	
t	i			ŋ	CVC	ㄷㅣᆼ	딩	ding	TRUE	
t	i			p̚	CVC	ㄷㅣᆸ	딥	dip	TRUE	
t	i			k̚	CVC	ㄷㅣᆨ	딕	dik	TRUE	
t	a			m	CVC	ㄷㅏᆷ	담	dam	TRUE	
t	a			n	CVC	ㄷㅏᆫ	단	dan	TRUE	
t	a			ŋ	CVC	ㄷㅏᆼ	당	dang	TRUE	
t	a			p̚	CVC	ㄷㅏᆸ	답	dap	TRUE	
t	a			k̚	CVC	ㄷㅏᆨ	닥	dak	TRUE	
t	o			m	CVC	ㄷㅗᆷ	돔	dom	TRUE	
t	o			n	CVC	ㄷㅗᆫ	돈	don	TRUE	
t	o			ŋ	CVC	ㄷㅗᆼ	동	dong	TRUE	
t	o			p̚	CVC	ㄷㅗᆸ	돕	dop	TRUE	
t	o			k̚	CVC	ㄷㅗᆨ	독	dok	TRUE	
t	u			m	CVC	ㄷㅜᆷ	둠	dum	TRUE	
t	u			n	CVC	ㄷㅜᆫ	둔	dun	TRUE	
t	u			ŋ	CVC	ㄷㅜᆼ	둥	dung	TRUE	
t	u			p̚	CVC	ㄷㅜᆸ	둡	dup	FALSE	
t	u			k̚	CVC	ㄷㅜᆨ	둑	duk	TRUE	
c	i			m	CVC	ㅈㅣᆷ	짐	jim	TRUE	
c	i			n	CVC	ㅈㅣᆫ	진	jin	TRUE	
c	i			ŋ	CVC	ㅈㅣᆼ	징	jing	TRUE	
c	i			p̚	CVC	ㅈㅣᆸ	집	jip	TRUE	
c	i			t̚	CVC	ㅈㅣᆮ	짇	jit	TRUE	
c	i			k̚	CVC	ㅈㅣᆨ	직	jik	TRUE	
c	a			m	CVC	ㅈㅏᆷ	잠	jam	TRUE	
c	a			n	CVC	ㅈㅏᆫ	잔	jan	TRUE	
c	a			ŋ	CVC	ㅈㅏᆼ	장	jang	TRUE	
c	a			p̚	CVC	ㅈㅏᆸ	잡	jap	TRUE	
c	a			t̚	CVC	ㅈㅏᆮ	잗	jat	TRUE	
c	a			k̚	CVC	ㅈㅏᆨ	작	jak	TRUE	
c	o			m	CVC	ㅈㅗᆷ	좀	jom	TRUE	
c	o			n	CVC	ㅈㅗᆫ	존	jon	TRUE	
c	o			ŋ	CVC	ㅈㅗᆼ	종	jong	TRUE	
c	o			p̚	CVC	ㅈㅗᆸ	좁	jop	TRUE	
c	o			t̚	CVC	ㅈㅗᆮ	졷	jot	TRUE	
c	o			k̚	CVC	ㅈㅗᆨ	족	jok	TRUE	
c	u			m	CVC	ㅈㅜᆷ	줌	jum	TRUE	
c	u			n	CVC	ㅈㅜᆫ	준	jun	TRUE	
c	u			ŋ	CVC	ㅈㅜᆼ	중	jung	TRUE	
c	u			p̚	CVC	ㅈㅜᆸ	줍	jup	TRUE	
c	u			t̚	CVC	ㅈㅜᆮ	줃	jut	FALSE	
c	u			k̚	CVC	ㅈㅜᆨ	죽	juk	TRUE	
k	i			m	CVC	ㄱㅣᆷ	김	gim	TRUE	
k	i			n	CVC	ㄱㅣᆫ	긴	gin	TRUE	
k	i			ŋ	CVC	ㄱㅣᆼ	깅	ging	TRUE	
k	i			p̚	CVC	ㄱㅣᆸ	깁	gip	TRUE	
k	i			t̚	CVC	ㄱㅣᆮ	긷	git	TRUE	
k	a			m	CVC	ㄱㅏᆷ	감	gam	TRUE	
k	a			n	CVC	ㄱㅏᆫ	간	gan	TRUE	
k	a			ŋ	CVC	ㄱㅏᆼ	강	gang	TRUE	
k	a			p̚	CVC	ㄱㅏᆸ	갑	gap	TRUE	
k	a			t̚	CVC	ㄱㅏᆮ	갇	gat	TRUE	
k	o			m	CVC	ㄱㅗᆷ	곰	gom	TRUE	
k	o			n	CVC	ㄱㅗᆫ	곤	gon	TRUE	
k	o			ŋ	CVC	ㄱㅗᆼ	공	gong	TRUE	
k	o			p̚	CVC	ㄱㅗᆸ	곱	gop	TRUE	
k	o			t̚	CVC	ㄱㅗᆮ	곧	got	TRUE	
k	u			m	CVC	ㄱㅜᆷ	굼	gum	TRUE	
k	u			n	CVC	ㄱㅜᆫ	군	gun	TRUE	
k	u			ŋ	CVC	ㄱㅜᆼ	궁	gung	TRUE	
k	u			p̚	CVC	ㄱㅜᆸ	굽	gup	TRUE	
